,forcing function
833,6.764615925521149
834,5.963673863594736
835,5.162751343602615
836,4.583240390064462
837,4.287854772161606
838,4.1453351254080575
839,3.946586230899166
840,3.5748704606617756
841,3.0888244718465616
842,2.6479327162748927
843,2.3406283991870698
844,2.0614123443907824
845,1.5533853902291994
846,0.6043079672441412
847,-0.745340575524055
848,-2.151580773755566
849,-3.1391398730091753
850,-3.398093735116286
851,-3.0026993186709006
852,-2.3891610812937123
853,-2.090205374014382
854,-2.395743179789961
855,-3.166993574148172
856,-3.9312117832077162
857,-4.193652740428863
858,-3.756108753908707
859,-2.83063604604554
860,-1.8819484690528085
861,-1.318394296581902
862,-1.2479712033964665
863,-1.457983332056831
864,-1.6117665023819763
865,-1.5051646370281926
866,-1.1956395377919082
867,-0.922916074897267
868,-0.8977966886797379
869,-1.1273647747468465
870,-1.4064932350893027
871,-1.4727062512857843
872,-1.1982736824083937
873,-0.6724652690643115
874,-0.11949158677778388
875,0.2721242335642271
876,0.4678191119573185
877,0.5613318040467756
878,0.6360095580422245
879,0.6403482869203392
880,0.3964183955725654
881,-0.24963971669281598
882,-1.2506107715379264
883,-2.308805532197753
884,-3.0231554951664
885,-3.151359894003719
886,-2.803823085971561
887,-2.4159116187066205
888,-2.493647748271491
889,-3.2917453344130454
890,-4.6415126192424685
891,-6.051610472928731
892,-7.019363677948567
893,-7.344388600911809
894,-7.234174522768937
895,-7.13562348314869
896,-7.415523787267165
897,-8.11310136393125
898,-8.930121144835008
899,-9.452712547446424
900,-9.438281710633314
901,-8.963978889339474
902,-8.341726112046796
903,-7.875398282653252
904,-7.643517274361358
905,-7.461230284236776
906,-7.036610536514626
907,-6.194931638767118
908,-5.004070247490342
909,-3.718829562201876
910,-2.6018089693369473
911,-1.765373550214943
912,-1.1500735582980877
913,-0.6378634870840254
914,-0.18919898039914035
915,0.12135721288878418
916,0.2054913838068706
917,0.1098214466769396
918,0.07251522966694583
919,0.4113881232953931
920,1.3024785037474114
921,2.6098107255151746
922,3.91022357310756
923,4.724976588936286
924,4.815547916233373
925,4.340605608355958
926,3.7560979658975686
927,3.5160837035185386
928,3.7740555036643446
929,4.2889735041142965
930,4.600188842151415
931,4.348520925549393
932,3.519694783706028
933,2.4431864366604636
934,1.5532764728537738
935,1.0853632117571461
936,0.9215055522383425
937,0.688175812432622
938,0.02876935838709216
939,-1.146292030298388
940,-2.6049021744205016
941,-3.961735559181046
942,-4.939731647525716
943,-5.537688066798429
944,-5.996673351700445
945,-6.608731696201868
946,-7.5192805169996175
947,-8.663262644790386
948,-9.860890809743722
949,-10.974749355500437
950,-11.992231821670421
951,-12.971157015039166
952,-13.908674797569615
953,-14.663449972132767
954,-15.020182336523796
955,-14.864494289015965
956,-14.33198896558069
957,-13.795434282937945
958,-13.666756571871499
959,-14.134655485484215
960,-15.023069616238237
961,-15.884333323993648
962,-16.278499667519263
963,-16.053249207924694
964,-15.430018079832308
965,-14.833432032049792
966,-14.581831591943647
967,-14.656931624419453
968,-14.716467582149988
969,-14.341848016306697
970,-13.345661571838956
971,-11.921129718450935
972,-10.52774981766466
973,-9.593687856977605
974,-9.242716639817385
975,-9.23231124412357
976,-9.138076617735274
977,-8.648615627492731
978,-7.765702370176189
979,-6.7818653014126875
980,-6.069408493822797
981,-5.841799492568972
982,-6.051783904451196
983,-6.476514695654993
984,-6.900095020545357
985,-7.2437260503696415
986,-7.552828788884694
987,-7.875668338260707
988,-8.156944010595293
989,-8.252142832106887
990,-8.060198390880112
991,-7.662249442705589
992,-7.3346840540097
993,-7.396267103538253
994,-7.983816703033256
995,-8.922280823863389
996,-9.801164204826685
997,-10.223050635106972
998,-10.058178461828094
999,-9.52320625942548
1000,-9.020952647370278
1001,-8.848984087175817
1002,-8.983818067383394
1003,-9.09867778080038
1004,-8.807370667758
1005,-7.962611847831271
1006,-6.793439017485693
1007,-5.777099155283098
1008,-5.32828148648627
1009,-5.51906571319021
1010,-6.023131924751849
1011,-6.3220897557038835
1012,-6.0315066304393214
1013,-5.126585950088439
1014,-3.924250676193446
1015,-2.8505153550231603
1016,-2.164815259022969
1017,-1.8277228191764785
1018,-1.5825170965823903
1019,-1.1655878709918455
1020,-0.48021362559726677
